team,matches_played,goals,possession,goals_per_match,possession_group
Algeria,4,5,61.0,1.25,High possession
Argentina,8,18,57.6,2.25,High possession
Australia,4,2,41.0,0.5,Low possession
Austria,4,5,45.0,1.25,Low possession
Belgium,6,13,51.2,2.1666666666666665,High possession
Bosnia–Herz,4,4,46.0,1.0,Low possession
Brazil,5,10,53.0,2.0,High possession
Cabo Verde,4,4,37.3,1.0,Low possession
Canada,5,8,54.4,1.6,High possession
Colombia,5,5,57.8,1.0,High possession
Congo DR,4,5,40.0,1.25,Low possession
Côte d'Ivoire,4,5,49.8,1.25,Low possession
Croatia,4,6,49.8,1.5,Low possession
Curaçao,3,1,32.3,0.3333333333333333,Low possession
Czechia,3,2,42.7,0.6666666666666666,Low possession
Ecuador,4,2,55.8,0.5,High possession
Egypt,5,8,51.4,1.6,High possession
eng England,8,20,54.1,2.5,High possession
France,8,20,55.9,2.5,High possession
Germany,4,11,65.0,2.75,High possession
Ghana,4,2,36.3,0.5,Low possession
Haiti,3,1,42.7,0.3333333333333333,Low possession
IR Iran,3,3,39.0,1.0,Low possession
Iraq,3,1,38.3,0.3333333333333333,Low possession
Japan,4,8,46.3,2.0,Low possession
Jordan,3,3,30.7,1.0,Low possession
Korea Republic,3,2,63.0,0.6666666666666666,High possession
Mexico,5,10,52.2,2.0,High possession
Morocco,6,10,59.0,1.6666666666666667,High possession
Netherlands,4,10,53.3,2.5,High possession
New Zealand,3,4,47.0,1.3333333333333333,Low possession
Norway,6,12,52.2,2.0,High possession
Panama,3,0,45.7,0.0,Low possession
Paraguay,5,3,30.0,0.6,Low possession
Portugal,5,7,58.4,1.4,High possession
Qatar,3,2,33.0,0.6666666666666666,Low possession
Saudi Arabia,3,1,38.3,0.3333333333333333,Low possession
sct Scotland,3,1,44.3,0.3333333333333333,Low possession
Senegal,4,10,55.3,2.5,High possession
South Africa,4,2,48.0,0.5,Low possession
Spain,8,13,64.1,1.625,High possession
Sweden,4,7,46.3,1.75,Low possession
Switzerland,6,10,54.0,1.6666666666666667,High possession
Tunisia,3,2,39.3,0.6666666666666666,Low possession
Türkiye,3,3,66.3,1.0,High possession
Uruguay,3,3,55.0,1.0,High possession
USA,5,9,56.8,1.8,High possession
Uzbekistan,3,2,38.3,0.6666666666666666,Low possession
