team,matches_played,total_subs
Algeria,4,19
Argentina,8,42
Australia,4,19
Austria,4,20
Belgium,6,31
Bosnia–Herz,4,20
Brazil,5,23
Cabo Verde,4,21
Canada,5,25
Colombia,5,22
Congo DR,4,20
Côte d'Ivoire,4,20
Croatia,4,18
Curaçao,3,13
Czechia,3,14
Ecuador,4,18
Egypt,5,25
England,8,39
France,8,33
Germany,4,21
Ghana,4,19
Haiti,3,13
IR Iran,3,12
Iraq,3,15
Japan,4,20
Jordan,3,15
Korea Republic,3,15
Mexico,5,25
Morocco,6,29
Netherlands,4,21
New Zealand,3,15
Norway,6,28
Panama,3,13
Paraguay,5,25
Portugal,5,24
Qatar,3,15
Saudi Arabia,3,15
Scotland,3,15
Senegal,4,21
South Africa,4,13
Spain,8,38
Sweden,4,20
Switzerland,6,32
Tunisia,3,15
Türkiye,3,15
Uruguay,3,12
USA,5,22
Uzbekistan,3,15
