,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
dz Algeria,22,27.3,4,360,90,100,4.0,44,81,25,19,21,37,1.00,5,9,-4,-1.00
ar Argentina,24,29.6,8,810,101,100,9.0,88,87,45,42,30,78,2.63,19,8,+11,+1.22
au Australia,23,25.3,4,390,98,100,4.3,44,85,25,19,28,37,1.25,3,3,0,0.00
at Austria,20,28.8,4,360,90,100,4.0,44,77,24,20,28,40,1.00,6,9,-3,-0.75
be Belgium,23,29.2,6,570,95,100,6.3,66,81,34,31,28,50,1.83,14,7,+7,+1.11
ba Bosnia–Herz,23,26.6,4,360,90,100,4.0,44,79,23,20,24,39,1.00,5,8,-3,-0.75
br Brazil,22,29.2,5,450,90,100,5.0,55,80,32,23,23,47,2.00,10,4,+6,+1.20
cv Cabo Verde,21,30.8,4,390,98,100,4.3,44,84,23,21,28,37,0.75,4,5,-1,-0.23
ca Canada,22,26.9,5,450,90,100,5.0,55,80,30,25,22,45,1.40,9,6,+3,+0.60
co Colombia,21,30.0,5,480,96,100,5.3,55,86,33,22,25,53,2.20,5,1,+4,+0.75
cd Congo DR,21,28.8,4,360,90,100,4.0,44,82,24,20,19,40,1.00,5,5,0,0.00
ci Côte d'Ivoire,22,25.5,4,360,90,100,4.0,44,82,24,20,18,40,1.50,5,4,+1,+0.25
hr Croatia,19,29.1,4,360,90,100,4.0,44,82,26,18,20,42,1.50,6,7,-1,-0.25
cw Curaçao,22,28.9,3,270,90,100,3.0,33,84,20,13,15,32,0.33,1,9,-8,-2.67
cz Czechia,21,27.8,3,270,90,100,3.0,33,80,20,14,22,29,0.33,2,6,-4,-1.33
ec Ecuador,21,26.8,4,360,90,100,4.0,44,81,25,18,23,42,1.00,2,4,-2,-0.50
eg Egypt,21,29.3,5,480,96,100,5.3,55,85,31,25,24,43,1.20,8,7,+1,+0.19
eng England,24,26.5,8,750,94,100,8.3,88,84,48,39,20,75,2.38,20,12,+8,+0.96
fr France,22,26.9,8,720,90,100,8.0,88,83,55,33,20,87,2.25,20,10,+10,+1.25
de Germany,23,28.1,4,390,98,100,4.3,44,84,23,21,29,36,1.75,11,5,+6,+1.38
gh Ghana,22,27.4,4,360,90,100,4.0,44,79,26,19,25,40,1.00,2,3,-1,-0.25
ht Haiti,18,28.6,3,270,90,100,3.0,33,82,20,13,21,32,0.00,2,8,-6,-2.00
ir IR Iran,20,31.7,3,270,90,100,3.0,33,81,21,12,25,33,1.00,3,3,0,0.00
iq Iraq,25,26.4,3,270,90,100,3.0,33,73,17,15,33,30,0.00,1,12,-11,-3.67
jp Japan,24,27.5,4,360,90,100,4.0,44,82,24,20,18,37,1.25,8,5,+3,+0.75
jo Jordan,20,28.2,3,270,90,100,3.0,33,85,18,15,12,30,0.00,3,8,-5,-1.67
kr Korea Republic,20,28.2,3,270,90,100,3.0,33,78,18,15,26,30,1.00,2,3,-1,-0.33
mx Mexico,25,27.6,5,450,90,100,5.0,55,81,29,25,19,49,2.40,10,3,+7,+1.40
ma Morocco,23,26.0,6,570,95,100,6.3,66,86,37,29,21,61,1.83,10,6,+4,+0.63
nl Netherlands,22,27.2,4,390,98,100,4.3,44,87,23,21,23,38,2.00,11,5,+6,+1.38
nz New Zealand,17,28.1,3,270,90,100,3.0,33,81,18,15,19,29,0.33,4,10,-6,-2.00
no Norway,25,27.1,6,570,95,100,6.3,66,83,38,28,28,61,2.00,13,11,+2,+0.32
pa Panama,20,28.8,3,270,90,100,3.0,33,84,20,13,15,32,0.00,0,4,-4,-1.33
py Paraguay,24,28.0,5,480,96,100,5.3,55,85,29,25,23,48,1.00,3,6,-3,-0.56
pt Portugal,22,27.7,5,450,90,100,5.0,55,79,31,24,24,51,1.60,8,3,+5,+1.00
qa Qatar,22,29.7,3,270,90,100,3.0,33,75,17,15,27,28,0.33,2,10,-8,-2.67
sa Saudi Arabia,18,28.6,3,270,90,100,3.0,33,79,18,15,24,30,0.67,1,5,-4,-1.33
sct Scotland,20,29.1,3,270,90,100,3.0,33,84,18,15,14,30,1.00,1,4,-3,-1.00
sn Senegal,22,28.5,4,390,98,100,4.3,44,84,23,21,27,37,0.75,10,9,+1,+0.23
za South Africa,19,26.7,4,360,90,100,4.0,44,83,30,13,21,42,1.00,2,4,-2,-0.50
es Spain,22,26.3,8,750,94,100,8.3,88,84,50,38,22,82,2.75,14,1,+13,+1.56
se Sweden,22,26.7,4,360,90,100,4.0,44,82,24,20,17,39,1.00,7,10,-3,-0.75
ch Switzerland,23,29.4,6,600,100,100,6.7,66,89,33,32,20,51,1.83,10,6,+4,+0.60
tn Tunisia,20,27.4,3,270,90,100,3.0,33,82,18,15,18,28,0.00,2,12,-10,-3.33
tr Türkiye,23,26.6,3,270,90,100,3.0,33,82,18,15,17,30,1.00,3,5,-2,-0.67
uy Uruguay,17,28.6,3,270,90,100,3.0,33,80,20,12,27,29,0.67,3,4,-1,-0.33
us USA,24,26.7,5,450,90,100,5.0,55,84,32,22,15,48,1.80,11,8,+3,+0.60
uz Uzbekistan,23,26.9,3,270,90,100,3.0,33,80,18,15,22,30,0.00,2,11,-9,-3.00
