team,goals
England,20
France,20
Argentina,19
Spain,14
Belgium,14
Norway,13
USA,11
Germany,11
Netherlands,11
Senegal,10
Switzerland,10
Brazil,10
Morocco,10
Mexico,10
Canada,9
Portugal,8
Egypt,8
Japan,8
Sweden,7
Austria,6
Croatia,6
Bosnia–Herz,5
Congo DR,5
Algeria,5
Côte d'Ivoire,5
Colombia,5
New Zealand,4
Cabo Verde,4
Australia,3
Paraguay,3
Türkiye,3
Uruguay,3
IR Iran,3
Jordan,3
Qatar,2
Ghana,2
Tunisia,2
Czechia,2
Korea Republic,2
Uzbekistan,2
Haiti,2
South Africa,2
Ecuador,2
Curaçao,1
Scotland,1
Saudi Arabia,1
Iraq,1
Panama,0
