team,matches_played,goals,total_subs
Algeria,4,5,19
Argentina,8,19,42
Australia,4,3,19
Austria,4,6,20
Belgium,6,14,31
Bosnia–Herz,4,5,20
Brazil,5,10,23
Cabo Verde,4,4,21
Canada,5,9,25
Colombia,5,5,22
Congo DR,4,5,20
Côte d'Ivoire,4,5,20
Croatia,4,6,18
Curaçao,3,1,13
Czechia,3,2,14
Ecuador,4,2,18
Egypt,5,8,25
England,8,20,39
France,8,20,33
Germany,4,11,21
Ghana,4,2,19
Haiti,3,2,13
IR Iran,3,3,12
Iraq,3,1,15
Japan,4,8,20
Jordan,3,3,15
Korea Republic,3,2,15
Mexico,5,10,25
Morocco,6,10,29
Netherlands,4,11,21
New Zealand,3,4,15
Norway,6,13,28
Panama,3,0,13
Paraguay,5,3,25
Portugal,5,8,24
Qatar,3,2,15
Saudi Arabia,3,1,15
Scotland,3,1,15
Senegal,4,10,21
South Africa,4,2,13
Spain,8,14,38
Sweden,4,7,20
Switzerland,6,10,32
Tunisia,3,2,15
Türkiye,3,3,15
Uruguay,3,3,12
USA,5,11,22
Uzbekistan,3,2,15
